Function,Best,Worst,Mean,Std
Sphere,9.5238196378e-08,2.8599986186e-05,4.6995528981e-06,6.4702400733e-06
Rastrigin,1.0842059510e-05,1.4446458573e+01,4.2645476023e+00,4.6296081236e+00
Ackley,7.5248882098e-05,8.2550657530e-04,3.1147114210e-04,2.0107804369e-04
Rosenbrock,2.6472138634e+01,2.8820350307e+01,2.8053273755e+01,7.3190238787e-01
Griewank,1.4915462909e-07,8.9175975930e-02,1.5742830870e-02,2.7751738171e-02
Schwefel,4.1657057241e+03,9.5765533853e+03,6.3726696523e+03,1.4535050710e+03
Zakharov,1.5561936308e+04,6.1705990086e+04,3.1345820682e+04,1.1391094884e+04
DixonPrice,6.6702224587e-01,1.0014584629e+00,6.8314352348e-01,5.9556282295e-02
Levy,1.0706871592e+00,2.4450007888e+00,1.5963391740e+00,3.1454357903e-01
Michalewicz,-1.3002935023e+01,-6.7869482985e+00,-1.0452657345e+01,1.5857663423e+00
